WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
64900,----,YOKO,,CM,1027,5.55,N,12.32,E
64910,FKKD,DOUALA (CIV/MIL),,CM,9,4,N,9.73,E
64931,----,BATOURI,,CM,655,4.47,N,14.37,E
64950,----,YAOUNDE,,CM,751,3.83,N,11.52,E
65046,----,KANO,,NG,476,12.05,N,8.53,E
65082,----,MAIDUGURI,,NG,354,11.85,N,13.08,E
65123,----,MINNA,,NG,260,9.62,N,6.53,E
65202,----,LAGOS/OSHODI,,NG,14,6.55,N,3.35,E
65306,----,KANDI,,BJ,292,11.13,N,2.93,E
65330,----,PARAKOU,,BJ,393,9.35,N,2.62,E
65344,----,COTONOU,,BJ,6,6.35,N,2.38,E
65361,----,SOKODE,,TG,403,8.98,N,1.13,E
65387,----,LOME,,TG,21,6.17,N,1.25,E
65418,----,TAMALE,,GH,173,9.5,N,0.85,W
65467,----,TAKORADI,,GH,5,4.88,N,1.77,W
65472,----,ACCRA,,GH,65,5.6,N,0.17,W
65503,DHHH,OUAGADOUGOU,,HV,306,12.35,N,1.52,W
65510,----,BOBO-DIOULASSO,,HV,460,11.17,N,4.3,W
65528,----,ODIENNE,,IV,433,9.5,N,7.57,W
65536,DIKO,KORHOGO,,IV,381,9.42,N,5.62,W
65548,DIMN,MAN,,IV,340,7.38,N,7.52,W
65555,DIBK,BOUAKE,,IV,376,7.73,N,5.07,W
65578,DIAP,ABIDJAN/PORT BOUET,,IV,8,5.25,N,3.93,W
65592,DITB,TABOU,,IV,21,4.42,N,7.37,W
65660,----,ROBERTS FIELD,,LR,9,6.25,N,10.35,W
66152,----,DUNDO,,AO,762,7.37,S,20.8,E
66160,----,LUANDA,,AO,84,8.85,S,13.23,E
66422,----,MOCAMEDES,,AO,52,15.2,S,12.15,E
67001,----,MORONI,,KM,6,11.7,S,43.23,E
67002,----,HAHAYA AIRPORT,,KM,29,11.53,S,43.27,E
67005,----,DZAOUDZI,,YT,7,12.8,S,45.28,E
67009,FMNA,DIEGO-SUAREZ,,MG,105,12.35,S,49.3,E
67012,----,FASCENE,,MG,10,13.32,S,48.32,E
67017,----,VOHMAR,,MG,6,13.37,S,50,E
67023,----,SAMBAVA,,MG,7,14.28,S,50.17,E
67025,FMNH,ANTALAHA,,MG,88,14.88,S,50.25,E
67027,FMNM,MAJUNGA/MAHAJAN,,MG,18,15.67,S,46.35,E
67073,FMMO,MAINTIRANO,,MG,23,18.05,S,44.03,E
67083,FMMI,ANTANANARIVO/IVATO,,MG,1276,18.8,S,47.48,E
67095,FMMT,TAMATAVE/TOAMAS,,MG,6,18.12,S,49.4,E
67113,FMMH,MAHANORO,,MG,5,19.83,S,48.8,E
67117,----,MORONDAVA,,MG,8,20.28,S,44.32,E
67131,----,MOROMBE,,MG,5,21.75,S,43.37,E
67157,FMSG,FARAFANGANA,,MG,6,22.8,S,47.83,E
67161,----,TULEAR,,MG,8,23.38,S,43.73,E
67197,FMSD,FT. DAUPHIN/TOLAGN,,MG,9,25.03,S,46.95,E
67215,----,PORTO AMELIA,,MZ,50,12.97,S,40.5,E
67231,FQCB,CUAMBA,,MZ,607,14.82,S,36.53,E
67237,FQNP,NAMPULA,,MZ,441,15.1,S,39.28,E
67283,----,QUELIMANE,,MZ,11,17.88,S,36.88,E
67297,----,BEIRA,,MZ,8,19.8,S,34.9,E
67323,----,INHAMBANE,,MZ,15,23.87,S,35.38,E
67341,FQMA,MAPUTO/MAVALANE,,MZ,44,25.92,S,32.57,E
67424,----,BOLERO,,MW,1100,10.97,S,33.73,E
67441,----,MWINILUNGA,,ZB,1362,11.75,S,24.43,E
67475,----,KASAMA,,ZB,1384,10.22,S,31.13,E
67489,----,MZUZU,,MW,1253,11.45,S,34.02,E
67586,FWKI,KAMUZU INTL AIRPOR,,MW,1229,13.78,S,33.77,E
67588,----,N.R.C.,,MW,1100,14.17,S,33.67,E
67633,----,MONGU,,ZB,1052,15.25,S,23.15,E
67666,FLLC,LUSAKA CITY AIRPOR,,ZB,1280,15.42,S,28.32,E
